DATE,BALANCE
2015-01-01,141007.22451612903
2015-02-01,88678.84428571432
2015-03-01,76424.78387096777
2015-04-01,83881.7593333333
2015-05-01,59037.27387096775
2015-06-01,56085.672666666665
2015-07-01,42948.97580645162
2015-08-01,32067.529677419352
2015-09-01,26173.811
2015-10-01,31983.177096774205
2015-11-01,21694.725
2015-12-01,23024.923548387094
2016-01-01,31555.56903225807
2016-02-01,32605.72107142857
2016-03-01,28456.720000000005
2016-04-01,23122.05566666667
2016-05-01,21413.107096774205
2016-06-01,25217.13833333333
2016-07-01,24171.760000000013
2016-08-01,20792.56903225807
2016-09-01,20732.827000000005
2016-10-01,23006.168387096786
2016-11-01,34598.32866666668
2016-12-01,28438.835806451618
2017-01-01,33923.216774193555
2017-02-01,45674.0867857143
2017-03-01,45589.19612903227
2017-04-01,24198.034000000018
2017-05-01,108732.21709677418
2017-06-01,213925.2923333334
2017-07-01,208182.12612903232
2017-08-01,27465.94548387099
2017-09-01,24403.689666666687
2017-10-01,21295.061612903246
2017-11-01,21211.36700000002
2017-12-01,24270.75032258068
2018-01-01,20341.49322580647
2018-02-01,37066.17285714288
2018-03-01,39614.74483870971
2018-04-01,27019.548333333354
2018-05-01,20822.759354838738
2018-06-01,22659.054666666685
2018-07-01,22492.886129032286
2018-08-01,20424.92258064519
2018-09-01,20108.043000000038
2018-10-01,22378.63290322583
2018-11-01,21074.706666666698
2018-12-01,23444.880967741963
2019-01-01,20090.10354838713
2019-02-01,37714.13535714289
2019-03-01,46065.736774193574
2019-04-01,35805.52733333337
2019-05-01,27730.32870967746
2019-06-01,37814.029000000046
2019-07-01,32654.23645161294
2019-08-01,20674.191290322615
2019-09-01,17953.07000000002
2019-10-01,38802.9519354839
2019-11-01,47622.50800000004
2019-12-01,45078.36935483876
2020-01-01,33928.92387096779
2020-02-01,51315.6296428572
2020-03-01,37845.40516129039
2020-04-01,23199.253666666733
2020-05-01,17559.82774193554
2020-06-01,13104.185000000061
2020-07-01,5671.06580645167
2020-08-01,4137.548064516184
2020-09-01,3308.7500000000528
2020-10-01,1921.4074193548909
2020-11-01,3510.4553333333897
2020-12-01,4019.6351612903823
