2015-01,141007.22451612903
2015-02,88678.84428571432
2015-03,76424.78387096777
2015-04,83881.7593333333
2015-05,59037.27387096775
2015-06,56085.672666666665
2015-07,42948.97580645162
2015-08,32067.529677419352
2015-09,26173.811
2015-10,31983.177096774205
2015-11,21694.725
2015-12,23024.92354838709
2016-01,31555.56903225807
2016-02,32605.72107142857
2016-03,28456.720000000005
2016-04,23122.05566666667
2016-05,21413.107096774205
2016-06,25217.13833333333
2016-07,24171.760000000013
2016-08,20792.56903225807
2016-09,20732.827000000005
2016-10,23006.168387096783
2016-11,34598.32866666668
2016-12,28438.835806451614
2017-01,33923.216774193555
2017-02,45674.0867857143
2017-03,45589.19612903227
2017-04,24198.034000000014
2017-05,108732.21709677418
2017-06,213925.2923333334
2017-07,208182.12612903232
2017-08,27465.94548387099
2017-09,24403.689666666687
2017-10,21295.06161290325
2017-11,21211.36700000002
2017-12,24270.75032258068
2018-01,20341.49322580647
2018-02,37066.17285714288
2018-03,39614.74483870971
2018-04,27019.548333333358
2018-05,20822.759354838738
2018-06,22659.054666666685
2018-07,22492.88612903229
2018-08,20424.92258064519
2018-09,20108.04300000004
2018-10,22378.63290322583
2018-11,21074.706666666694
2018-12,23444.880967741963
2019-01,20090.10354838713
2019-02,37714.13535714289
2019-03,46065.73677419357
2019-04,35805.52733333337
2019-05,27730.32870967746
2019-06,37814.029000000046
2019-07,32654.23645161294
2019-08,20674.19129032261
2019-09,17953.07000000002
2019-10,38802.9519354839
2019-11,47622.50800000004
2019-12,45078.36935483876
2020-01,33928.92387096779
2020-02,51315.6296428572
2020-03,37845.40516129039
2020-04,23199.253666666733
2020-05,17559.82774193554
2020-06,13104.18500000006
2020-07,5671.06580645167
2020-08,4137.548064516184
2020-09,3308.7500000000528
