DATE,BALANCE
2016-01-01,79763.22000000004
2016-01-02,79763.22000000004
2016-01-03,79763.22000000004
2016-01-04,79763.22000000004
2016-01-05,72528.99000000005
2016-01-06,70028.99000000005
2016-01-07,70028.99000000005
2016-01-08,70034.49000000005
2016-01-09,93468.49000000005
2016-01-10,93468.49000000005
2016-01-11,93468.49000000005
2016-01-12,87108.11000000004
2016-01-13,87108.11000000004
2016-01-14,86498.24000000005
2016-01-15,84998.24000000005
2016-01-16,84669.14000000004
2016-01-17,84669.14000000004
2016-01-18,84669.14000000004
2016-01-19,84022.48000000004
2016-01-20,84016.48000000004
2016-01-21,83857.18000000005
2016-01-22,84732.18000000005
2016-01-23,83181.29000000004
2016-01-24,83181.29000000004
2016-01-25,83181.29000000004
2016-01-26,83281.29000000004
2016-01-27,80251.29000000004
2016-01-28,80009.79000000004
2016-01-29,78564.30000000005
2016-01-30,80162.95000000004
2016-01-31,80162.95000000004
2016-02-01,80162.95000000004
2016-02-02,76206.27000000005
2016-02-03,73206.27000000005
2016-02-04,73206.27000000005
2016-02-05,73129.27000000005
2016-02-06,73129.27000000005
2016-02-07,73129.27000000005
2016-02-08,73129.27000000005
2016-02-09,73129.27000000005
2016-02-10,93646.97000000004
2016-02-11,93646.97000000004
2016-02-12,92291.51000000004
2016-02-13,92291.51000000004
2016-02-14,92291.51000000004
2016-02-15,92291.51000000004
2016-02-16,91495.40000000005
2016-02-17,90832.75000000004
2016-02-18,81729.71000000005
2016-02-19,81658.03000000004
2016-02-20,82908.03000000004
2016-02-21,82908.03000000004
2016-02-22,82908.03000000004
2016-02-23,82686.53000000004
2016-02-24,83474.03000000004
2016-02-25,89626.74000000005
2016-02-26,89626.74000000005
2016-02-27,84126.74000000005
2016-02-28,84126.74000000005
2016-03-01,83286.92000000004
2016-03-02,78076.42000000004
2016-03-03,78076.42000000004
2016-03-04,78346.42000000004
2016-03-05,78364.12000000004
2016-03-06,78364.12000000004
2016-03-07,78364.12000000004
2016-03-08,78057.12000000004
